Team Name,Games Played,Wins,Losses,OT Losses,Regulation Wins,Reg OT Wins,SO Wins,SO Losses,Points
BOS,73,57,11,5,49,54,3,3,119
CAR,72,47,16,9,35,43,4,3,103
NJ,74,46,20,8,34,44,2,4,100
VGK,73,46,21,6,34,42,4,3,98
TOR,73,44,20,9,37,43,1,2,97
NYR,73,43,20,10,33,39,4,2,96
LA,73,43,20,10,33,37,6,3,96
MIN,74,43,22,9,31,36,7,5,95
COL,73,44,23,6,31,38,6,3,94
EDM,74,42,23,9,38,42,0,4,93
DAL,73,39,20,14,32,36,3,3,92
TB,74,42,26,6,34,39,3,2,90
SEA,73,40,25,8,31,40,0,4,88
WPG,74,41,30,3,31,40,1,1,85
NYI,75,38,28,9,33,38,0,5,85
PIT,73,36,27,10,27,35,1,1,82
CGY,74,33,26,15,27,31,2,3,81
NSH,72,36,28,8,26,31,5,2,80
FLA,74,36,31,7,31,34,2,1,79
BUF,73,35,31,7,27,34,1,3,77
OTT,74,36,33,5,29,34,2,1,77
WSH,74,34,32,8,26,32,2,3,76
VAN,73,34,34,5,22,29,5,2,73
STL,73,33,34,6,25,30,3,2,72
DET,72,31,32,9,24,28,3,3,71
PHI,72,28,32,12,25,26,2,1,68
ARI,75,27,35,13,20,24,3,4,67
MTL,74,30,38,6,20,25,5,2,66
ANA,74,23,41,10,13,20,3,3,56
CHI,73,24,43,6,16,22,2,2,54
CBJ,72,23,42,7,15,22,1,1,53
SJ,73,19,39,15,14,18,1,6,53
